,starting_capacity,choice_delay_phc,choice_delay_ss,demand_served_phc,demand_served_ss,demand_fulfilled_dates_phc,demand_fulfilled_dates_ss,bad_experience_phc,bad_experience_ss
361,3,208,-1,0,0,569,0,0,0
362,3,-1,-1,0,0,0,0,0,0
363,3,1,-1,0,0,364,0,0,0
364,3,3,-1,1,0,367,0,0,0
365,2,25,-1,1,0,0,413,1,0
366,1,12,-1,0,0,0,413,1,0
367,1,-1,0,1,0,0,441,0,1
368,0,-1,-1,0,0,0,0,0,0
369,0,-1,4,0,0,0,413,0,1
370,0,1,-1,0,0,0,413,1,1
371,0,0,-1,0,0,404,0,1,0
372,0,234,-1,0,0,606,0,0,0
373,0,-1,3,0,0,0,413,0,1
374,0,-1,-1,0,0,0,0,0,0
375,0,2,-1,0,0,0,413,1,0
376,0,-1,8,0,0,0,413,0,1
377,0,33,-1,0,0,410,0,0,0
378,0,-1,1,0,0,0,413,0,1
379,0,-1,1,0,0,0,413,1,1
380,0,-1,0,0,0,0,413,0,1
381,0,-1,10,0,0,0,413,0,0
382,0,-1,14,0,0,0,413,0,0
383,0,-1,0,0,0,0,413,0,1
384,0,-1,87,0,0,0,497,0,0
385,0,9,-1,0,0,0,413,1,0
386,0,38,-1,0,0,424,0,0,0
387,0,13,-1,0,0,400,0,0,0
388,0,6,-1,0,0,404,0,1,0
389,0,15,-1,0,0,404,0,0,0
390,0,1,-1,0,0,443,0,1,0
391,0,-1,15,0,0,0,413,0,0
392,0,1,-1,0,0,402,0,1,0
393,0,0,-1,0,0,400,0,1,0
394,0,-1,7,0,0,0,413,0,0
395,0,2,-1,0,0,400,0,1,0
396,0,2,-1,0,0,401,0,1,0
397,0,31,-1,0,0,577,0,1,0
398,0,269,-1,0,0,667,0,0,0
399,0,24,-1,0,0,423,0,0,0
400,50,3,-1,3,0,403,0,0,0
401,47,3,-1,1,0,404,0,0,0
402,46,111,-1,1,0,513,0,0,0
403,45,92,-1,4,0,495,0,0,0
404,41,0,-1,5,0,404,0,0,0
405,36,-1,-1,0,0,0,0,0,0
406,36,-1,25,0,0,0,441,0,0
407,36,1,-1,0,0,408,0,0,0
408,36,-1,0,1,0,0,413,0,0
409,35,102,-1,1,0,511,0,0,0
410,34,11,-1,1,0,421,0,0,0
411,33,-1,3,0,0,0,441,0,0
412,33,0,-1,1,0,412,0,0,0
413,32,-1,27,0,19,0,441,0,0
414,13,2,-1,1,0,416,0,0,0
415,12,0,-1,1,0,415,0,0,0
416,11,-1,-1,1,0,0,0,0,0
417,10,0,-1,2,0,417,0,0,0
418,8,-1,-1,1,0,0,0,0,0
