Birth Latitude,Birth Longitude,Births,Location ID,key,PHC_ID,Primary Health Centre Name,Primary Health Centre Location,Mandal,PHC Latitude,PHC Longitude,PHC Full Name,Distance
17.578750199999998,77.82874890000002,4.29055357,80,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",3.4198053274112286
17.578750199999998,77.8370822,3.90440392,81,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",4.302963447827334
17.578750199999998,77.8454156,4.29055357,82,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",5.186196939827611
17.578750199999998,77.8537489,4.29055357,83,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",6.069456327497037
17.578750199999998,77.8620822,4.29055357,84,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",6.952738299514064
17.578750199999998,77.8704156,4.05387545,85,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",7.348585291484897
17.578750199999998,77.8787489,3.89273214,86,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",7.063793645702413
17.578750199999998,77.88708220000002,3.8625176,87,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",6.881409588434905
17.578750199999998,77.89541559999998,3.82726836,88,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",6.809666301325999
17.578750199999998,77.90374890000002,3.7869823,89,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",6.852041730711869
17.578750199999998,77.9620822,3.7869823,90,1,8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.89649200000001,"Primary Health Centre, Mominpet, Mominpet",9.732173555790672
17.570416899999998,77.77874890000002,4.27376747,91,1,7,Primary Health Centre,Patloor,Marpally,17.579466,77.79649599999999,"Primary Health Centre, Patloor, Marpally",2.133462783318179
