scenario_name,ss_mode,ss_replenishment_source,replenishmentdisruption,ccedisruption,phc,ss,overall
ccedisruption,periodic,phc,0,2,0.440273038,0.559726962,0.802739726
ccedisruption,periodic,phc,0,2,0.48013245,0.51986755,0.82739726
ccedisruption,periodic,phc,0,2,0.478405316,0.521594684,0.824657534
ccedisruption,periodic,phc,0,2,0.508532423,0.491467577,0.802739726
ccedisruption,periodic,phc,0,2,0.413907285,0.586092715,0.82739726
ccedisruption,periodic,phc,0,2,0.446945338,0.553054662,0.852054795
ccedisruption,periodic,phc,0,2,0.384364821,0.615635179,0.84109589
ccedisruption,periodic,phc,0,2,0.37704918,0.62295082,0.835616438
ccedisruption,periodic,phc,0,2,0.449180328,0.550819672,0.835616438
ccedisruption,periodic,phc,0,2,0.429530201,0.570469799,0.816438356
ccedisruption,periodic,phc,0,2,0.444078947,0.555921053,0.832876712
ccedisruption,periodic,phc,0,2,0.449044586,0.550955414,0.860273973
ccedisruption,periodic,phc,0,2,0.434343434,0.565656566,0.81369863
ccedisruption,periodic,phc,0,2,0.38245614,0.61754386,0.780821918
ccedisruption,periodic,phc,0,2,0.450847458,0.549152542,0.808219178
ccedisruption,periodic,phc,0,2,0.437931034,0.562068966,0.794520548
ccedisruption,periodic,phc,0,2,0.464882943,0.535117057,0.819178082
ccedisruption,periodic,phc,0,2,0.403278689,0.596721311,0.835616438
ccedisruption,periodic,phc,0,2,0.413907285,0.586092715,0.82739726
ccedisruption,periodic,phc,0,2,0.407051282,0.592948718,0.854794521
ccedisruption,periodic,phc,0,2,0.429032258,0.570967742,0.849315068
ccedisruption,periodic,phc,0,2,0.372611465,0.627388535,0.860273973
ccedisruption,periodic,phc,0,2,0.420689655,0.579310345,0.794520548
ccedisruption,periodic,phc,0,2,0.438356164,0.561643836,0.8
ccedisruption,periodic,phc,0,2,0.432432432,0.567567568,0.810958904
ccedisruption,periodic,phc,0,2,0.412140575,0.587859425,0.857534247
ccedisruption,periodic,phc,0,2,0.443708609,0.556291391,0.82739726
ccedisruption,periodic,phc,0,2,0.428571429,0.571428571,0.824657534
ccedisruption,periodic,phc,0,2,0.411003236,0.588996764,0.846575342
ccedisruption,periodic,phc,0,2,0.43533123,0.56466877,0.868493151
