Latitude,Longitude,Location Name,Type,Level
17.1448,77.8707,Narayanapoor,AWC,1
17.1761,77.8824,Sulthanpoor,AWC,1
17.2274,77.8727,Naskal - I,AWC,1
17.2258,77.871,Naskal - II,AWC,1
17.2301,77.8601,Bharkathpally,AWC,1
17.18,77.8803,Rukkumpally,AWC,1
17.1968,77.8505,Chiguralpally,AWC,1
17.2101,77.8262,Lakhnapoor,AWC,1
17.1667,77.8189,Govindapoor,AWC,1
17.1442,77.8604,Mittakodur - I,AWC,1
17.2022,77.8116,Mittakodur - II,AWC,1
17.1535,77.8224,Rangampally I,AWC,1
17.1533,77.8225,Rangampally II,AWC,1
17.1653,77.8045,BhojyanaikTanda,AWC,1
17.1596,77.8293,SondepoorTanda,AWC,1
17.1357,77.9514,Rapole - I,AWC,1
17.1289,77.9329,Rapole - II,AWC,1
17.1255,77.9675,Chityal,AWC,1
17.1162,77.9785,Thondapally,AWC,1
17.1298,77.9799,Yabajiguda,AWC,1
17.1299,77.9208,Khudavanpoor,AWC,1
17.1291,77.9131,Jaffarpally,AWC,1
17.0941,77.9576,Syedpally,AWC,1
17.1086,77.9426,Ravulapally,AWC,1
17.1881,77.9448,Madharam - I,AWC,1
17.138,77.9508,Madharam - II,AWC,1
17.1881,77.9448,Basireddypally,AWC,1
17.1991,77.9338,Rangapoor,AWC,1
17.1638,77.9097,Kalapoor,AWC,1
17.1128,77.924,Raghavapoor,AWC,1
17.1812,77.8772,Syedmalkapoor,AWC,1
17.1935,77.9207,NazeerabadTanda,AWC,1
17.1697,77.8412,Roopkhanpet - I,AWC,1
17.1697,77.8412,Roopkhanpet - II,AWC,1
17.1507,77.7459,Gadsingapoor,AWC,1
17.2032,77.7875,Ibrahimpoor,AWC,1
17.2047,77.7727,RoopsinghTanda,AWC,1
17.1921,77.7866,MalkaipetTanda,AWC,1
17.0865,77.8344,Doma - I,AWC,1
17.0884,77.8361,Doma - II,AWC,1
17.0834,77.8327,Doma - III,AWC,1
17.0846,77.8417,Udhanraopally,AWC,1
17.0571,77.873,Mothkur - I,AWC,1
17.0607,77.851,Mothkur - II,AWC,1
17.0607,77.851,Chenchucolony,AWC,1
17.0693,77.8058,Inapoor - I,AWC,1
17.0599,77.8189,Inapoor - II,AWC,1
17.1771261,77.8803378,Mylaram,AWC,1
17.1089,77.8408,Thimmaipally,AWC,1
17.1288,77.8243,Pothireddypally,AWC,1
17.0904,77.854,Ootpally,AWC,1
17.1272,77.785,Bompally,AWC,1
17.1187,77.7883,PeddaTanda -1,AWC,1
17.1177,77.8881,Baspally,AWC,1
17.11344,77.9040682,Shivareddypally,AWC,1
